【2024-07-30 14:57:18,149】  机械臂程序模块初始化
【2024-07-30 14:57:20,747】  connect to SCARA 192.168.10.36:9760
【2024-07-30 15:01:43,444】  机械臂程序模块初始化
【2024-07-30 15:01:44,448】  connect to SCARA 192.168.10.36:9760
【2024-07-30 16:11:05,554】  机械臂程序模块初始化
【2024-07-30 16:11:11,619】  机械臂程序模块初始化
【2024-07-30 16:11:12,621】  connect to SCARA 192.168.10.36:9760
【2024-07-30 16:12:36,113】  机械臂程序模块初始化
【2024-07-30 16:12:37,115】  connect to SCARA 192.168.10.36:9760
【2024-07-30 16:13:33,946】  机械臂程序模块初始化
【2024-07-30 16:13:34,948】  connect to SCARA 192.168.10.36:9760
【2024-07-30 16:14:46,522】  机械臂程序模块初始化
【2024-07-30 16:14:47,523】  connect to SCARA 192.168.10.36:9760
【2024-07-30 16:15:14,489】  机械臂程序模块初始化
【2024-07-30 16:15:15,492】  connect to SCARA 192.168.10.36:9760
【2024-07-30 16:15:42,017】  机械臂程序模块初始化
【2024-07-30 16:15:43,019】  connect to SCARA 192.168.10.36:9760
【2024-07-30 16:16:21,535】  机械臂程序模块初始化
【2024-07-30 16:16:25,078】  connect to SCARA 192.168.10.36:9760
【2024-07-30 16:17:03,520】  机械臂程序模块初始化
【2024-07-30 16:17:04,523】  connect to SCARA 192.168.10.36:9760
【2024-07-30 16:17:17,720】  机械臂程序模块初始化
【2024-07-30 16:17:20,899】  connect to SCARA 192.168.10.36:9760
【2024-07-30 16:23:31,713】  机械臂程序模块初始化
【2024-07-30 16:23:32,715】  connect to SCARA 192.168.10.36:9760
【2024-07-30 16:26:15,544】  机械臂程序模块初始化
【2024-07-30 16:26:16,546】  connect to SCARA 192.168.10.36:9760
【2024-07-30 16:26:40,904】  机械臂程序模块初始化
【2024-07-30 16:26:41,907】  connect to SCARA 192.168.10.36:9760
【2024-07-30 16:27:24,473】  机械臂程序模块初始化
【2024-07-30 16:27:25,475】  connect to SCARA 192.168.10.36:9760
【2024-07-30 16:27:48,921】  机械臂程序模块初始化
【2024-07-30 16:27:49,923】  connect to SCARA 192.168.10.36:9760
【2024-07-30 16:28:05,761】  机械臂程序模块初始化
【2024-07-30 16:28:06,763】  connect to SCARA 192.168.10.36:9760
【2024-07-30 16:29:58,456】  机械臂程序模块初始化
【2024-07-30 16:29:59,459】  connect to SCARA 192.168.10.36:9760
【2024-07-30 16:30:31,257】  机械臂程序模块初始化
【2024-07-30 16:30:32,277】  connect to SCARA 192.168.10.36:9760
